Simulation number,run_time,ALGORITHM,EXPLORATION_CONSTANT,MAX_ITERATION,MIN_SET_SIZE,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
4419282,4,ProgressiveWideningSolver,500000,200,6,1974233,0,1974233
4419283,5,DPWSolver,500000,200,11,1912981,0,1912981
4419284,5,ProgressiveWideningSolver,500000,200,11,1989734,0,1989734
4419285,12,DPWSolver,500000,500,6,1969148,0,1969148
4419286,8,ProgressiveWideningSolver,500000,500,6,1883148,0,1883148
4419287,11,DPWSolver,500000,500,11,1975273,0,1975273
4419288,8,ProgressiveWideningSolver,500000,500,11,1922776,0,1922776
4419289,23,DPWSolver,500000,1000,6,1948886,0,1948886
4419290,13,ProgressiveWideningSolver,500000,1000,6,1862552,0,1862552
4419291,24,DPWSolver,500000,1000,11,1922839,0,1922839
4419292,16,ProgressiveWideningSolver,500000,1000,11,1953345,0,1953345
4419293,56,DPWSolver,500000,2000,6,1918730,0,1918730
4419294,22,ProgressiveWideningSolver,500000,2000,6,1826765,0,1826765
4419295,51,DPWSolver,500000,2000,11,1925817,0,1925817
4419296,27,ProgressiveWideningSolver,500000,2000,11,1933231,0,1933231
4419297,2,DPWSolver,750000,50,6,1998842,0,1998842
4419298,2,ProgressiveWideningSolver,750000,50,6,2007055,0,2007055
4419299,2,DPWSolver,750000,50,11,2013832,0,2013832
4419300,2,ProgressiveWideningSolver,750000,50,11,1961541,0,1961541
4419301,3,DPWSolver,750000,100,6,2066218,0,2066218
4419302,3,ProgressiveWideningSolver,750000,100,6,2027871,0,2027871
4419303,3,DPWSolver,750000,100,11,1995667,0,1995667
4419304,3,ProgressiveWideningSolver,750000,100,11,2010855,0,2010855
4419305,6,DPWSolver,750000,200,6,1985616,0,1985616
4419306,5,ProgressiveWideningSolver,750000,200,6,1965551,0,1965551
4419307,6,DPWSolver,750000,200,11,1960767,0,1960767
4419308,5,ProgressiveWideningSolver,750000,200,11,1961392,0,1961392
4419309,13,DPWSolver,750000,500,6,1885417,0,1885417
4419310,9,ProgressiveWideningSolver,750000,500,6,1880610,0,1880610
4419311,11,DPWSolver,750000,500,11,2002233,0,2002233
4419312,10,ProgressiveWideningSolver,750000,500,11,2017823,0,2017823
4419313,23,DPWSolver,750000,1000,6,1899144,0,1899144
4419314,17,ProgressiveWideningSolver,750000,1000,6,1905073,0,1905073
4419315,25,DPWSolver,750000,1000,11,1961229,0,1961229
4419316,21,ProgressiveWideningSolver,750000,1000,11,1947826,0,1947826
4419317,53,DPWSolver,750000,2000,6,1902723,0,1902723
4419318,32,ProgressiveWideningSolver,750000,2000,6,1852112,0,1852112
4419319,56,DPWSolver,750000,2000,11,1909962,0,1909962
4419320,38,ProgressiveWideningSolver,750000,2000,11,1973989,0,1973989
4419321,2,DPWSolver,1000000,50,6,2080251,0,2080251
4419322,1,ProgressiveWideningSolver,1000000,50,6,2002452,0,2002452
4419323,2,DPWSolver,1000000,50,11,2103035,0,2103035
4419324,2,ProgressiveWideningSolver,1000000,50,11,1943396,0,1943396
4419325,3,DPWSolver,1000000,100,6,2160305,0,2160305
4419326,3,ProgressiveWideningSolver,1000000,100,6,2030196,0,2030196
4419327,3,DPWSolver,1000000,100,11,2033312,0,2033312
4419328,3,ProgressiveWideningSolver,1000000,100,11,1948768,0,1948768
4419329,5,DPWSolver,1000000,200,6,1922187,0,1922187
4419330,5,ProgressiveWideningSolver,1000000,200,6,1893838,0,1893838
4419331,5,DPWSolver,1000000,200,11,1902348,0,1902348
4419332,5,ProgressiveWideningSolver,1000000,200,11,1986506,0,1986506
4419333,12,DPWSolver,1000000,500,6,1869014,0,1869014
4419334,10,ProgressiveWideningSolver,1000000,500,6,1901707,0,1901707
4419335,13,DPWSolver,1000000,500,11,1966515,0,1966515
4419336,11,ProgressiveWideningSolver,1000000,500,11,1964327,0,1964327
4419337,25,DPWSolver,1000000,1000,6,1865784,0,1865784
4419338,18,ProgressiveWideningSolver,1000000,1000,6,1819271,0,1819271
4419339,24,DPWSolver,1000000,1000,11,1964876,0,1964876
4419340,19,ProgressiveWideningSolver,1000000,1000,11,1900013,0,1900013
4419341,52,DPWSolver,1000000,2000,6,1877011,0,1877011
4419342,42,ProgressiveWideningSolver,1000000,2000,6,1791847,0,1791847
4419343,51,DPWSolver,1000000,2000,11,1892656,0,1892656
4419344,40,ProgressiveWideningSolver,1000000,2000,11,1902162,0,1902162
4419345,2,DPWSolver,2000000,50,6,2077192,0,2077192
4419346,1,ProgressiveWideningSolver,2000000,50,6,2076783,0,2076783
4419347,2,DPWSolver,2000000,50,11,2074928,0,2074928
4419348,2,ProgressiveWideningSolver,2000000,50,11,1944749,0,1944749
4419349,3,DPWSolver,2000000,100,6,2047618,0,2047618
4419350,3,ProgressiveWideningSolver,2000000,100,6,2096408,0,2096408
4419351,3,DPWSolver,2000000,100,11,2008691,0,2008691
4419352,3,ProgressiveWideningSolver,2000000,100,11,2040586,0,2040586
4419353,5,DPWSolver,2000000,200,6,1949123,0,1949123
4419354,5,ProgressiveWideningSolver,2000000,200,6,1989155,0,1989155
4419355,5,DPWSolver,2000000,200,11,1993987,0,1993987
4419356,5,ProgressiveWideningSolver,2000000,200,11,1997669,0,1997669
4419357,13,DPWSolver,2000000,500,6,1918718,0,1918718
4419358,10,ProgressiveWideningSolver,2000000,500,6,1894536,0,1894536
4419359,11,DPWSolver,2000000,500,11,1919182,0,1919182
4419360,10,ProgressiveWideningSolver,2000000,500,11,1968211,0,1968211
4419361,24,DPWSolver,2000000,1000,6,1842226,0,1842226
4419362,19,ProgressiveWideningSolver,2000000,1000,6,1867386,0,1867386
4419363,26,DPWSolver,2000000,1000,11,1920352,0,1920352
4419364,22,ProgressiveWideningSolver,2000000,1000,11,1973212,0,1973212
4419365,50,DPWSolver,2000000,2000,6,1846352,0,1846352
4419366,40,ProgressiveWideningSolver,2000000,2000,6,1883393,0,1883393
4419367,58,DPWSolver,2000000,2000,11,1882479,0,1882479
4419368,45,ProgressiveWideningSolver,2000000,2000,11,1950516,0,1950516
7634801,1,DPWSolver,2500000,50,6,1996295,0,1996295
7634802,2,DPWSolver,2500000,50,11,2105790,0,2105790
7634803,3,DPWSolver,2500000,100,6,2133245,0,2133245
7634804,3,DPWSolver,2500000,100,11,1959576,0,1959576
7634805,5,DPWSolver,2500000,200,6,1982323,0,1982323
7634806,6,DPWSolver,2500000,200,11,1931169,0,1931169
7634807,12,DPWSolver,2500000,500,6,1930602,0,1930602
7634808,11,DPWSolver,2500000,500,11,1941338,0,1941338
7634809,23,DPWSolver,2500000,1000,6,1866212,0,1866212
7634810,24,DPWSolver,2500000,1000,11,1952702,0,1952702
7634811,49,DPWSolver,2500000,2000,6,1873741,0,1873741
7634812,51,DPWSolver,2500000,2000,11,1854484,0,1854484
7634813,2,DPWSolver,3000000,50,6,2050251,0,2050251
7634814,2,DPWSolver,3000000,50,11,2100338,0,2100338
7634815,3,DPWSolver,3000000,100,6,2049388,0,2049388
7634816,3,DPWSolver,3000000,100,11,2012173,0,2012173
7634817,5,DPWSolver,3000000,200,6,1958791,0,1958791
7634818,5,DPWSolver,3000000,200,11,1918266,0,1918266
7634819,13,DPWSolver,3000000,500,6,1901162,0,1901162
7634820,13,DPWSolver,3000000,500,11,1948528,0,1948528
7634821,27,DPWSolver,3000000,1000,6,1888835,0,1888835
7634822,24,DPWSolver,3000000,1000,11,1910175,0,1910175
7634823,50,DPWSolver,3000000,2000,6,1907163,0,1907163
7634824,52,DPWSolver,3000000,2000,11,1912787,0,1912787
7634825,2,DPWSolver,3500000,50,6,2049913,0,2049913
7634826,3,DPWSolver,3500000,50,11,1981082,0,1981082
7634827,3,DPWSolver,3500000,100,6,2093495,0,2093495
7634828,3,DPWSolver,3500000,100,11,2102736,0,2102736
7634829,6,DPWSolver,3500000,200,6,1935233,0,1935233
7634830,5,DPWSolver,3500000,200,11,1939242,0,1939242
7634831,13,DPWSolver,3500000,500,6,1933987,0,1933987
7634832,12,DPWSolver,3500000,500,11,1971300,0,1971300
7634833,24,DPWSolver,3500000,1000,6,1885036,0,1885036
7634834,25,DPWSolver,3500000,1000,11,1975884,0,1975884
7634835,56,DPWSolver,3500000,2000,6,1881973,0,1881973
7634836,53,DPWSolver,3500000,2000,11,1875063,0,1875063
7634837,2,DPWSolver,4000000,50,6,2043149,0,2043149
7634838,2,DPWSolver,4000000,50,11,2042296,0,2042296
7634839,3,DPWSolver,4000000,100,6,2049248,0,2049248
7634840,3,DPWSolver,4000000,100,11,1962312,0,1962312
7634841,5,DPWSolver,4000000,200,6,1983753,0,1983753
7634842,5,DPWSolver,4000000,200,11,1978927,0,1978927
7634843,12,DPWSolver,4000000,500,6,1879732,0,1879732
7634844,12,DPWSolver,4000000,500,11,1964912,0,1964912
7634845,25,DPWSolver,4000000,1000,6,1861448,0,1861448
7634846,26,DPWSolver,4000000,1000,11,1996573,0,1996573
7634847,54,DPWSolver,4000000,2000,6,1893140,0,1893140
7634848,52,DPWSolver,4000000,2000,11,1912480,0,1912480
