Simulation number,run_time,HEURISTIC,ALGORITHM,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
1137822,790,False,NAIVE,50000,2000,0.998,2000494,0,2000494
1137823,36,True,ProgressiveWideningSolver,50000,2000,0.998,1909083,0,1909083
1137824,42,False,ProgressiveWideningSolver,50000,2000,0.998,2041144,0,2041144
1137825,280,True,DPWSolver,50000,5000,0.9998,1975555,0,1975555
1137826,320,False,DPWSolver,50000,5000,0.9998,2115505,0,2115505
1137827,869,True,NAIVE,50000,5000,0.9998,1877641,0,1877641
5114101,3,True,DPWSolver,100,50,0.9998,2043230,0,2043230
5114102,3,False,DPWSolver,100,50,0.9998,2234167,0,2234167
5114103,19,True,NAIVE,100,50,0.9998,2061123,0,2061123
5114104,25,False,NAIVE,100,50,0.9998,2152178,0,2152178
5114105,2,True,ProgressiveWideningSolver,100,50,0.9998,2038037,0,2038037
5114106,2,False,ProgressiveWideningSolver,100,50,0.9998,2251439,0,2251439
5114107,3,True,DPWSolver,100,50,0.998,2041940,0,2041940
5114108,3,False,DPWSolver,100,50,0.998,2136454,0,2136454
5114109,20,True,NAIVE,100,50,0.998,1995484,0,1995484
5114110,25,False,NAIVE,100,50,0.998,2213088,0,2213088
5114111,2,True,ProgressiveWideningSolver,100,50,0.998,2103573,0,2103573
5114112,2,False,ProgressiveWideningSolver,100,50,0.998,2228479,0,2228479
5114113,5,True,DPWSolver,100,100,0.9998,2052867,0,2052867
5114114,6,False,DPWSolver,100,100,0.9998,2148951,0,2148951
5114115,50,True,NAIVE,100,100,0.9998,1936356,0,1936356
5114116,60,False,NAIVE,100,100,0.9998,2094055,0,2094055
5114117,4,True,ProgressiveWideningSolver,100,100,0.9998,2011035,0,2011035
5114118,4,False,ProgressiveWideningSolver,100,100,0.9998,2188516,0,2188516
5114119,6,True,DPWSolver,100,100,0.998,2051870,0,2051870
5114120,6,False,DPWSolver,100,100,0.998,2108772,0,2108772
5114121,56,True,NAIVE,100,100,0.998,1967990,0,1967990
5114122,73,False,NAIVE,100,100,0.998,1995778,0,1995778
5114123,4,True,ProgressiveWideningSolver,100,100,0.998,2008080,0,2008080
5114124,5,False,ProgressiveWideningSolver,100,100,0.998,2150142,0,2150142
5114125,12,True,DPWSolver,100,200,0.9998,1952613,0,1952613
5114126,13,False,DPWSolver,100,200,0.9998,2167561,0,2167561
5114127,160,True,NAIVE,100,200,0.9998,1998009,0,1998009
5114128,202,False,NAIVE,100,200,0.9998,2087842,0,2087842
5114129,7,True,ProgressiveWideningSolver,100,200,0.9998,1981021,0,1981021
5114130,8,False,ProgressiveWideningSolver,100,200,0.9998,2150072,0,2150072
5114131,13,True,DPWSolver,100,200,0.998,2035653,0,2035653
5114132,14,False,DPWSolver,100,200,0.998,2157420,0,2157420
5114133,147,True,NAIVE,100,200,0.998,1982420,0,1982420
5114134,174,False,NAIVE,100,200,0.998,2208424,0,2208424
5114135,6,True,ProgressiveWideningSolver,100,200,0.998,2040737,0,2040737
5114136,8,False,ProgressiveWideningSolver,100,200,0.998,2117421,0,2117421
5114137,32,True,DPWSolver,100,500,0.9998,1868222,0,1868222
5114138,34,False,DPWSolver,100,500,0.9998,2079687,0,2079687
5114139,281,True,NAIVE,100,500,0.9998,1929095,0,1929095
5114140,397,False,NAIVE,100,500,0.9998,2009904,0,2009904
5114141,9,True,ProgressiveWideningSolver,100,500,0.9998,1987218,0,1987218
5114142,11,False,ProgressiveWideningSolver,100,500,0.9998,2173795,0,2173795
5114143,24,True,DPWSolver,100,500,0.998,2033113,0,2033113
5114144,28,False,DPWSolver,100,500,0.998,2107505,0,2107505
5114145,236,True,NAIVE,100,500,0.998,1972140,0,1972140
5114146,333,False,NAIVE,100,500,0.998,2041950,0,2041950
5114147,9,True,ProgressiveWideningSolver,100,500,0.998,2004467,0,2004467
5114148,11,False,ProgressiveWideningSolver,100,500,0.998,2175086,0,2175086
5114149,46,True,DPWSolver,100,1000,0.9998,1950933,0,1950933
5114150,54,False,DPWSolver,100,1000,0.9998,2157509,0,2157509
5114151,404,True,NAIVE,100,1000,0.9998,1920125,0,1920125
5114152,523,False,NAIVE,100,1000,0.9998,2101605,0,2101605
5114153,16,True,ProgressiveWideningSolver,100,1000,0.9998,2042932,0,2042932
5114154,21,False,ProgressiveWideningSolver,100,1000,0.9998,2113282,0,2113282
5114155,50,True,DPWSolver,100,1000,0.998,1971823,0,1971823
5114156,51,False,DPWSolver,100,1000,0.998,2131405,0,2131405
5114157,404,True,NAIVE,100,1000,0.998,1906986,0,1906986
5114158,510,False,NAIVE,100,1000,0.998,1994429,0,1994429
5114159,18,True,ProgressiveWideningSolver,100,1000,0.998,2034143,0,2034143
5114160,21,False,ProgressiveWideningSolver,100,1000,0.998,2148619,0,2148619
5114161,99,True,DPWSolver,100,2000,0.9998,2012813,0,2012813
5114162,117,False,DPWSolver,100,2000,0.9998,2096772,0,2096772
5114163,560,True,NAIVE,100,2000,0.9998,1851752,0,1851752
5114164,723,False,NAIVE,100,2000,0.9998,1981700,0,1981700
5114165,36,True,ProgressiveWideningSolver,100,2000,0.9998,2058376,0,2058376
5114166,40,False,ProgressiveWideningSolver,100,2000,0.9998,2109018,0,2109018
5114167,104,True,DPWSolver,100,2000,0.998,1993624,0,1993624
5114168,115,False,DPWSolver,100,2000,0.998,2107049,0,2107049
5114169,578,True,NAIVE,100,2000,0.998,1913574,0,1913574
5114170,761,False,NAIVE,100,2000,0.998,2024115,0,2024115
5114171,32,True,ProgressiveWideningSolver,100,2000,0.998,1961238,0,1961238
5114172,39,False,ProgressiveWideningSolver,100,2000,0.998,2160510,0,2160510
5114173,273,True,DPWSolver,100,5000,0.9998,1997055,0,1997055
