Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_EXPLORATION,DPW_ALPHA,MIN_SET_SIZE,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
8656658,30,ProgressiveWideningSolver,True,750000,1000,0.9998,4,0.2,6,True,1301045,0,1301045
8656659,48,ProgressiveWideningSolver,True,750000,1000,0.9998,8,0.2,6,True,1294302,0,1294302
8656660,65,ProgressiveWideningSolver,True,750000,1000,0.9998,4,0.4,6,True,1327727,0,1327727
8656661,114,ProgressiveWideningSolver,True,750000,1000,0.9998,8,0.4,6,True,1304978,0,1304978
8656662,50,DPWSolver,True,750000,1000,0.9998,4,0.2,11,True,1258075,0,1258075
8656663,61,DPWSolver,True,750000,1000,0.9998,8,0.2,11,True,1261392,0,1261392
8656664,68,DPWSolver,True,750000,1000,0.9998,4,0.4,11,True,1262781,0,1262781
8656665,103,DPWSolver,True,750000,1000,0.9998,8,0.4,11,True,1270302,0,1270302
8656666,178,NAIVE,True,750000,1000,0.9998,8,0.4,11,True,1261091,0,1261091
8656667,28,ProgressiveWideningSolver,True,750000,1000,0.9998,4,0.2,11,True,1285512,0,1285512
8656668,48,ProgressiveWideningSolver,True,750000,1000,0.9998,8,0.2,11,True,1298977,0,1298977
8656669,71,ProgressiveWideningSolver,True,750000,1000,0.9998,4,0.4,11,True,1279166,0,1279166
8656670,106,ProgressiveWideningSolver,True,750000,1000,0.9998,8,0.4,11,True,1288000,0,1288000
8656671,47,DPWSolver,True,750000,1000,0.998,4,0.2,6,True,1245805,0,1245805
8656672,56,DPWSolver,True,750000,1000,0.998,8,0.2,6,True,1257559,0,1257559
8656673,75,DPWSolver,True,750000,1000,0.998,4,0.4,6,True,1264182,0,1264182
8656674,92,DPWSolver,True,750000,1000,0.998,8,0.4,6,True,1258872,0,1258872
8656675,163,NAIVE,True,750000,1000,0.998,8,0.4,6,True,1270586,0,1270586
8656676,21,ProgressiveWideningSolver,True,750000,1000,0.998,4,0.2,6,True,1297112,0,1297112
8656677,38,ProgressiveWideningSolver,True,750000,1000,0.998,8,0.2,6,True,1298416,0,1298416
8656678,55,ProgressiveWideningSolver,True,750000,1000,0.998,4,0.4,6,True,1271700,0,1271700
8656679,102,ProgressiveWideningSolver,True,750000,1000,0.998,8,0.4,6,True,1275001,0,1275001
8656680,47,DPWSolver,True,750000,1000,0.998,4,0.2,11,True,1265307,0,1265307
8656681,54,DPWSolver,True,750000,1000,0.998,8,0.2,11,True,1256394,0,1256394
8656682,72,DPWSolver,True,750000,1000,0.998,4,0.4,11,True,1241563,0,1241563
8656683,97,DPWSolver,True,750000,1000,0.998,8,0.4,11,True,1251159,0,1251159
8656684,174,NAIVE,True,750000,1000,0.998,8,0.4,11,True,1288883,0,1288883
8656685,22,ProgressiveWideningSolver,True,750000,1000,0.998,4,0.2,11,True,1295698,0,1295698
8656686,36,ProgressiveWideningSolver,True,750000,1000,0.998,8,0.2,11,True,1298073,0,1298073
8656687,53,ProgressiveWideningSolver,True,750000,1000,0.998,4,0.4,11,True,1272966,0,1272966
8656688,100,ProgressiveWideningSolver,True,750000,1000,0.998,8,0.4,11,True,1275002,0,1275002
