Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_EXPLORATION,DPW_ALPHA,MIN_SET_SIZE,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
8656452,39,ProgressiveWideningSolver,False,500000,1000,0.9998,8,0.2,11,True,1271138,0,1271138
8656453,62,ProgressiveWideningSolver,False,500000,1000,0.9998,4,0.4,11,True,1301854,0,1301854
8656454,98,ProgressiveWideningSolver,False,500000,1000,0.9998,8,0.4,11,True,1288444,0,1288444
8656455,46,DPWSolver,False,500000,1000,0.998,4,0.2,6,True,1235743,0,1235743
8656456,54,DPWSolver,False,500000,1000,0.998,8,0.2,6,True,1238635,0,1238635
8656457,62,DPWSolver,False,500000,1000,0.998,4,0.4,6,True,1260765,0,1260765
8656458,93,DPWSolver,False,500000,1000,0.998,8,0.4,6,True,1264124,0,1264124
8656459,155,NAIVE,False,500000,1000,0.998,8,0.4,6,True,1286332,0,1286332
8656460,15,ProgressiveWideningSolver,False,500000,1000,0.998,4,0.2,6,True,1283395,0,1283395
8656461,29,ProgressiveWideningSolver,False,500000,1000,0.998,8,0.2,6,True,1279533,0,1279533
8656462,48,ProgressiveWideningSolver,False,500000,1000,0.998,4,0.4,6,True,1263862,0,1263862
8656463,88,ProgressiveWideningSolver,False,500000,1000,0.998,8,0.4,6,True,1294750,0,1294750
8656464,46,DPWSolver,False,500000,1000,0.998,4,0.2,11,True,1250221,0,1250221
8656465,49,DPWSolver,False,500000,1000,0.998,8,0.2,11,True,1267208,0,1267208
8656466,63,DPWSolver,False,500000,1000,0.998,4,0.4,11,True,1258809,0,1258809
8656467,98,DPWSolver,False,500000,1000,0.998,8,0.4,11,True,1247406,0,1247406
8656468,153,NAIVE,False,500000,1000,0.998,8,0.4,11,True,1293886,0,1293886
8656469,15,ProgressiveWideningSolver,False,500000,1000,0.998,4,0.2,11,True,1276765,0,1276765
8656470,30,ProgressiveWideningSolver,False,500000,1000,0.998,8,0.2,11,True,1315977,0,1315977
8656471,48,ProgressiveWideningSolver,False,500000,1000,0.998,4,0.4,11,True,1260742,0,1260742
8656472,88,ProgressiveWideningSolver,False,500000,1000,0.998,8,0.4,11,True,1287539,0,1287539
8656473,23,DPWSolver,False,750000,500,0.9998,4,0.2,6,True,1265713,0,1265713
8656474,26,DPWSolver,False,750000,500,0.9998,8,0.2,6,True,1256825,0,1256825
8656475,27,DPWSolver,False,750000,500,0.9998,4,0.4,6,True,1251016,0,1251016
8656476,36,DPWSolver,False,750000,500,0.9998,8,0.4,6,True,1276836,0,1276836
8656477,92,NAIVE,False,750000,500,0.9998,8,0.4,6,True,1325091,0,1325091
8656478,14,ProgressiveWideningSolver,False,750000,500,0.9998,4,0.2,6,True,1304698,0,1304698
8656479,22,ProgressiveWideningSolver,False,750000,500,0.9998,8,0.2,6,True,1284404,0,1284404
8656480,25,ProgressiveWideningSolver,False,750000,500,0.9998,4,0.4,6,True,1272427,0,1272427
8656481,38,ProgressiveWideningSolver,False,750000,500,0.9998,8,0.4,6,True,1285265,0,1285265
8656482,24,DPWSolver,False,750000,500,0.9998,4,0.2,11,True,1257946,0,1257946
8656483,29,DPWSolver,False,750000,500,0.9998,8,0.2,11,True,1264252,0,1264252
8656484,30,DPWSolver,False,750000,500,0.9998,4,0.4,11,True,1297932,0,1297932
8656485,41,DPWSolver,False,750000,500,0.9998,8,0.4,11,True,1327746,0,1327746
8656486,87,NAIVE,False,750000,500,0.9998,8,0.4,11,True,1293781,0,1293781
8656487,15,ProgressiveWideningSolver,False,750000,500,0.9998,4,0.2,11,True,1281052,0,1281052
8656488,21,ProgressiveWideningSolver,False,750000,500,0.9998,8,0.2,11,True,1279675,0,1279675
8656489,28,ProgressiveWideningSolver,False,750000,500,0.9998,4,0.4,11,True,1339758,0,1339758
8656490,42,ProgressiveWideningSolver,False,750000,500,0.9998,8,0.4,11,True,1305854,0,1305854
8656491,22,DPWSolver,False,750000,500,0.998,4,0.2,6,True,1270406,0,1270406
8656492,27,DPWSolver,False,750000,500,0.998,8,0.2,6,True,1256032,0,1256032
8656493,29,DPWSolver,False,750000,500,0.998,4,0.4,6,True,1294224,0,1294224
8656494,39,DPWSolver,False,750000,500,0.998,8,0.4,6,True,1283495,0,1283495
8656495,87,NAIVE,False,750000,500,0.998,8,0.4,6,True,1298567,0,1298567
8656496,14,ProgressiveWideningSolver,False,750000,500,0.998,4,0.2,6,True,1292256,0,1292256
