Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_ALPHA,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
4956158,28,DPWSolver,False,25000,500,0.9998,0.2,False,1108675,0,1108675
4956159,41,DPWSolver,False,25000,500,0.9998,0.4,True,1117093,0,1117093
4956160,40,DPWSolver,False,25000,500,0.9998,0.4,False,1114412,0,1114412
4956161,86,NAIVE,False,25000,500,0.9998,0.4,False,1118786,0,1118786
4956162,11,ProgressiveWideningSolver,False,25000,500,0.9998,0.2,False,1157283,0,1157283
4956163,27,ProgressiveWideningSolver,False,25000,500,0.9998,0.4,False,1145452,0,1145452
4956164,29,DPWSolver,False,25000,500,0.999,0.2,True,1113137,0,1113137
4956165,29,DPWSolver,False,25000,500,0.999,0.2,False,1123759,0,1123759
4956166,40,DPWSolver,False,25000,500,0.999,0.4,True,1098104,0,1098104
4956167,41,DPWSolver,False,25000,500,0.999,0.4,False,1112346,0,1112346
4956168,89,NAIVE,False,25000,500,0.999,0.4,False,1109079,0,1109079
4956169,11,ProgressiveWideningSolver,False,25000,500,0.999,0.2,False,1157840,0,1157840
4956170,27,ProgressiveWideningSolver,False,25000,500,0.999,0.4,False,1102532,0,1102532
4956171,59,DPWSolver,False,25000,1000,0.9998,0.2,True,1102309,0,1102309
4956172,61,DPWSolver,False,25000,1000,0.9998,0.2,False,1108412,0,1108412
4956173,84,DPWSolver,False,25000,1000,0.9998,0.4,True,1115314,0,1115314
4956174,82,DPWSolver,False,25000,1000,0.9998,0.4,False,1107555,0,1107555
4956175,104,NAIVE,False,25000,1000,0.9998,0.4,False,1111899,0,1111899
4956176,15,ProgressiveWideningSolver,False,25000,1000,0.9998,0.2,False,1186269,0,1186269
4956177,37,ProgressiveWideningSolver,False,25000,1000,0.9998,0.4,False,1140743,0,1140743
4956178,46,DPWSolver,False,25000,1000,0.999,0.2,True,1109908,0,1109908
4956179,46,DPWSolver,False,25000,1000,0.999,0.2,False,1125897,0,1125897
4956180,64,DPWSolver,False,25000,1000,0.999,0.4,True,1124952,0,1124952
4956181,65,DPWSolver,False,25000,1000,0.999,0.4,False,1129519,0,1129519
4956182,102,NAIVE,False,25000,1000,0.999,0.4,False,1126304,0,1126304
4956183,14,ProgressiveWideningSolver,False,25000,1000,0.999,0.2,False,1152760,0,1152760
4956184,44,ProgressiveWideningSolver,False,25000,1000,0.999,0.4,False,1149965,0,1149965
4956185,2,DPWSolver,False,50000,20,0.9998,0.2,True,1170298,0,1170298
4956186,2,DPWSolver,False,50000,20,0.9998,0.2,False,1194794,0,1194794
4956187,2,DPWSolver,False,50000,20,0.9998,0.4,True,1187227,0,1187227
4956188,2,DPWSolver,False,50000,20,0.9998,0.4,False,1215712,0,1215712
4956189,5,NAIVE,False,50000,20,0.9998,0.4,False,1183327,0,1183327
4956190,1,ProgressiveWideningSolver,False,50000,20,0.9998,0.2,False,1198334,0,1198334
4956191,1,ProgressiveWideningSolver,False,50000,20,0.9998,0.4,False,1199790,0,1199790
4956192,2,DPWSolver,False,50000,20,0.999,0.2,True,1185083,0,1185083
4956193,2,DPWSolver,False,50000,20,0.999,0.2,False,1225897,0,1225897
4956194,2,DPWSolver,False,50000,20,0.999,0.4,True,1187283,0,1187283
4956195,2,DPWSolver,False,50000,20,0.999,0.4,False,1187345,0,1187345
4956196,5,NAIVE,False,50000,20,0.999,0.4,False,1229090,0,1229090
4956197,1,ProgressiveWideningSolver,False,50000,20,0.999,0.2,False,1195554,0,1195554
4956198,1,ProgressiveWideningSolver,False,50000,20,0.999,0.4,False,1162332,0,1162332
4956199,3,DPWSolver,False,50000,50,0.9998,0.2,True,1160499,0,1160499
4956200,3,DPWSolver,False,50000,50,0.9998,0.2,False,1161031,0,1161031
4956201,3,DPWSolver,False,50000,50,0.9998,0.4,True,1143593,0,1143593
4956202,3,DPWSolver,False,50000,50,0.9998,0.4,False,1149539,0,1149539
4956203,12,NAIVE,False,50000,50,0.9998,0.4,False,1146672,0,1146672
4956204,2,ProgressiveWideningSolver,False,50000,50,0.9998,0.2,False,1176499,0,1176499
4956205,2,ProgressiveWideningSolver,False,50000,50,0.9998,0.4,False,1165509,0,1165509
4956206,3,DPWSolver,False,50000,50,0.999,0.2,True,1172742,0,1172742
4956207,3,DPWSolver,False,50000,50,0.999,0.2,False,1184704,0,1184704
4956208,3,DPWSolver,False,50000,50,0.999,0.4,True,1166288,0,1166288
4956209,3,DPWSolver,False,50000,50,0.999,0.4,False,1149685,0,1149685
4956210,12,NAIVE,False,50000,50,0.999,0.4,False,1207883,0,1207883
4956211,2,ProgressiveWideningSolver,False,50000,50,0.999,0.2,False,1180511,0,1180511
4956212,2,ProgressiveWideningSolver,False,50000,50,0.999,0.4,False,1199651,0,1199651
4956213,6,DPWSolver,False,50000,100,0.9998,0.2,True,1164645,0,1164645
4956214,6,DPWSolver,False,50000,100,0.9998,0.2,False,1135173,0,1135173
4956215,6,DPWSolver,False,50000,100,0.9998,0.4,True,1156592,0,1156592
4956216,6,DPWSolver,False,50000,100,0.9998,0.4,False,1126569,0,1126569
4956217,23,NAIVE,False,50000,100,0.9998,0.4,False,1179742,0,1179742
4956218,3,ProgressiveWideningSolver,False,50000,100,0.9998,0.2,False,1140550,0,1140550
4956219,5,ProgressiveWideningSolver,False,50000,100,0.9998,0.4,False,1119058,0,1119058
4956220,6,DPWSolver,False,50000,100,0.999,0.2,True,1106070,0,1106070
4956221,5,DPWSolver,False,50000,100,0.999,0.2,False,1130797,0,1130797
4956222,6,DPWSolver,False,50000,100,0.999,0.4,True,1139510,0,1139510
4956223,5,DPWSolver,False,50000,100,0.999,0.4,False,1140900,0,1140900
4956224,23,NAIVE,False,50000,100,0.999,0.4,False,1176316,0,1176316
4956225,3,ProgressiveWideningSolver,False,50000,100,0.999,0.2,False,1130264,0,1130264
4956226,5,ProgressiveWideningSolver,False,50000,100,0.999,0.4,False,1184943,0,1184943
4956227,11,DPWSolver,False,50000,200,0.9998,0.2,True,1102701,0,1102701
4956228,11,DPWSolver,False,50000,200,0.9998,0.2,False,1108560,0,1108560
4956229,12,DPWSolver,False,50000,200,0.9998,0.4,True,1140400,0,1140400
4956230,11,DPWSolver,False,50000,200,0.9998,0.4,False,1143104,0,1143104
4956231,37,NAIVE,False,50000,200,0.9998,0.4,False,1157877,0,1157877
